Descriptor,Count
bat,31
stiffen,23
vinho_verd,180
oti,18
harlan,24
year_ago,86
invest,33
matter,78
wise,28
70,152
grab,138
strength,234
combo,29
variet_charact,358
veil,67
fire,67
washington,551
1978,6
zaca,18
mesa,20
becam,10
eric,22
cobbler,44
citrusdriven,28
pinot_blanc,103
gewurztramin,33
smallproduct,71
keeper,19
coriand,20
cumin,61
sail,41
nobl,77
rot,11
sandi,36
2009,629
mighti,18
squash,12
limejuic,16
multivintag,7
grenach_mourvèdr,79
central,115
livewir,24
throw,98
variet_correct,98
58,21
41,24
marsann,55
18,99
trick,86
verdejo,136
dirt,22
12,216
kitchensink,9
volatil,262
ayala,10
champagn,521
made_organ,108
atlant,6
stylist,47
flag,8
favor,193
santa_maria,60
lucki,11
obtain,14
decant_hour,72
notabl,307
talc,31
technic,120
venison,15
score,368
drink_now–2018,110
trust,9
ageabl,484
calera,39
appreci,205
evidenc,48
grant,52
cinnamonspic,19
fullon,43
extra_dimens,70
team,102
quench,39
pop_cork,49
evoc,86
hilltop,15
freeston,13
proceed,23
46,28
counois,65
smash,11
control,414
bruis,47
scotch,10
mile,34
histori,57
carri_onto,42
italian,406
portug,61
nation,22
song,11
mind,140
palatecleans,24
wish,84
dedic,28
author,62
screwcap,806
longstand,8
york,33
hanzel,23
took,55
regim,15
cooper,100
came,96
leviti,15
midweight,25
coil,58
macer,29
narrow,344
quickhit,6
spine,198
graciano,32
50yearold,31
substanc,156
vanilla_custard,112
freshest,97
drystyl,15
2007,799
jump,75
flirt,42
closest,7
disappoint,350
chiffon,30
mere,96
think,324
breezi,43
uplift,55
sky,16
styliz,14
cap,109
align,6
etch,97
suav,67
cofer,40
noir,23
wellknown,42
brunello,828
immedi_appeal,123
bounti,24
hide,187
fact,436
model,72
sancerr,109
marasca,16
hunt,15
berryfruit,8
andor,65
vanillalac,10
alo,8
vera,6
roman,35
landscap,14
mont,89
saintevictoir,15
sneak,48
roll,349
lamb,368
hoisin,18
undergrowth,14
53,10
47,44
tank,47
ultra,47
rip,43
punctuat,52
hew,11
closer,38
ooz,127
forev,48
surpass,15
stop,137
decor,16
figur,63
role,93
web,8
violetr,8
percept,43
offput,86
imposs,74
leftov,96
coax,86
baker,46
brutstyl,27
sekt,6
drench,27
fieri,162
latent,11
mosel,102
nofril,32
sineann,32
bloom,30
amp,25
shame,56
glove,38
shear,26
alentejo,61
lightcolor,12
downhil,22
fruitless,9
haystack,12
plow,17
stewi,197
question,184
diamond,56
indigen,39
fred,9
brander,29
activ,25
sooth,33
sauté,108
disturb,29
spoil,59
volcan,50
peer,28
industri,25
player,37
toni,13
coupl,154
ridg,127
95,43
nicola,8
olivi,9
consult,94
fort,27
michel,68
rolland,40
market,223
saintémilion,11
stag_leap,61
wellcompos,12
27,35
north,181
aragonez,35
sauerkraut,14
powder_sugar,54
chili,60
flake,31
weed,18
confirm,95
oakag,90
rdd,39
scope,43
cruz,21
heartier,20
coolvintag,18
treac,6
overdon,205
christma,25
fulsom,11
driedfruit,23
buxom,12
drizzl,82
quinin,27
underneath,349
lowli,10
twoacr,8
devot,15
oldschool,48
sculpt,94
124,6
sweep,18
mccrum,6
edward,42
throw_sediment,45
ebulli,27
difficulti,38
assault,27
santar,15
dão,69
grownup,8
posit,197
testimoni,9
skill,53
viticultur,30
creamier,59
cideri,47
strippedback,8
wellfocus,6
garnacha,270
clamp,50
pronounc,275
copperi,19
read,125
fell,6
william,50
merg,65
sunshin,68
ponder,76
bonarda,97
hallmark,225
bacigalupi,7
win,153
pari,10
cab_sauvignon,183
rockhard,28
tightlywound,10
broadshould,28
silk,79
fragil,13
breath_time,198
momentum,67
quick_fade,65
ryan,11
carr,11
underlay,42
spars,6
speck,7
pervad,60
conif,8
spell,13
outmuscl,6
palm,11
stocki,50
unrefin,14
schloss,12
ephemer,28
host,10
emblemat,11
trend,41
alcohol_level,95
emphasi,180
brimston,32
2026,30
began,18
malt,43
creamsicl,13
care,316
unfin,21
unfilt,49
evolut,127
shoulder,23
smokedmeat,10
beguil,91
send,91
utter,100
moreish,45
flavors—a,8
rendit,134
move,310
calibr,10
actor,7
sourcherri,30
mention,71
mesh,95
côtes_du,36
rhône,158
justrip,35
40yearold,27
detract,151
stillyoung,27
castl,38
reviv,21
supplement,17
bless,17
lava,10
sale,21
research,11
decid,128
rout,15
whiteflow,10
toplevel,10
nerv,17
pouillyfumé,10
fast,177
window,79
slatey,30
vanillacherri,10
spike,56
gunpowd,11
fourthgener,6
monoton,46
fail,118
multigrap,12
goldcolor,13
outright,26
fabul,205
tempt,48
immens,254
2020–2032,13
creep,88
realiz,28
endow,94
wine—it,11
enorm,738
chevali,13
shoot,40
deceiv,6
uneasi,11
deepcolor,7
embed,27
mediumlength,101
rein,63
ciderlik,10
seek,69
mediumintens,29
koolaid,13
accept,134
scratch,21
spiritsoak,11
school,43
owe,21
skirt,20
vat,15
fold,221
miss,405
dole,62
chocolatecov_raisin,59
never_lose,85
short_rib,63
come_mind,65
lodi,129
sattui,7
annual,16
equilibrium,21
oppos,55
akin,70
stuf,345
previous_vintag,184
aim,70
60yearold,7
button,69
santa_lucia,85
chanc,64
3–5,139
testifi,24
origin,310
francisco,27
roasti,13
establish,62
boni,6
noirlik,14
mother,22
might_expect,116
amador,34
diminish,27
bear,323
sock,19
chile,228
led,44
merlotbas,53
fruitladen,23
yakima_valley,101
sauvignondomin,18
wellround,49
2020–2030,32
2000,100
rhôneinspir,7
await,14
33,39
distinguish,278
reappear,17
fess,21
unapologet,9
cours,226
reserva,99
ensembl,97
exposit,8
schist,30
columbia,55
gorg,12
ancient,67
lake,68
columbia_valley,95
pecan,28
unclench,11
meal,166
pungenc,51
now–2023,14
tightgrain,15
emphat,8
forget,42
felton,26
caress,94
benchmark,77
mike,28
laurent,18
western,86
requisit,33
topofthelin,26
lifespan,27
2020–2025,6
monstrous,10
jerki,20
quintessenti,112
wachau,24
twothird,51
marionberri,8
grill_steak,212
address,12
opaqu,66
dandelion,16
interspers,20
neat,43
dine,19
king,37
print,11
upsid,9
paradox,12
blister,6
69,7
thought,57
batten,12
exceed,114
arguabl,80
jolli,15
rancher,8
commemor,20
pli,6
semidri,63
brian,23
lore,23
overreach,18
tonic,481
limitedproduct,46
inclus,24
39,34
offbal,9
flavorwis,74
halfandhalf,6
figeac,8
amalgam,16
perform,171
gear,26
disappear,67
rothschild,14
mouton,21
81,9
jordan,11
forth,124
45,90
individu,75
felt,26
enthusiast,37
tandem,18
crispest,30
liveli,104
saintemilion,45
classif,10
franc,198
radiant,11
rivet,17
mineralsoak,11
sgn,7
right_away,147
wow,93
bundl,17
mesmer,11
molten,61
sunripen,49
merlotdomin,41
rosato,14
blast,566
curtain,19
moscatel,7
sweeti,18
around_edg,153
weak,151
set_scene,50
suppress,37
romant,11
robe,9
overrid,69
handsom,73
spite,7
seltzer,7
longer,372
copper,27
maraschino,63
front_center,139
oak_cask,114
darkplum,12
melka,10
syrahbas,16
grower,59
exemplifi,54
mélang,134
lawrenc,7
check,142
offici,73
scale,75
post,16
tendenc,24
repay,9
salina,36
limeting,18
spright,81
execut,115
twang,9
tarter,15
trajadura,22
fantast,209
howev,599
welljudg,22
pliant,31
easiest,15
marlborough,301
either,200
roughhewn,17
confer,20
monopol,16
stir,64
luckili,7
nonfruiti,10
cigarbox,31
ask,76
hung,14
brais,100
standardfar,6
unadulter,20
oomph,16
slowcook,13
woodsmok,23
bbq,41
motto,9
fring,36
pricey,89
monterey,143
boozi,7
cocktail,163
afraid,16
rambuncti,15
higher,248
marimar,13
viura,104
henc,68
claret,35
nail_polish,56
remov,21
chief,24
traction,36
explor,51
upandcom,32
lock,144
unveil,35
prop,72
squirt,59
curl,7
wind,149
small_percentag,122
musqu,12
rob,52
ribbon,23
clos_de,44
vougeot,23
cortoncharlemagn,25
mercurey,14
lateharvest,55
onethird,93
whole_cluster,56
wetston,26
plan,28
sooner,19
hour_decant,81
matriarch,9
extrovert,13
yummi,74
gob,24
unfett,6
express_nebbiolo,123
stress,7
botan,22
diffus,34
list,194
limn,23
actual,240
eman,27
mirabell,37
happi,108
merest,40
unit,39
tapestri,34
radiat,20
alsac,61
purest,45
sultana,25
ripest,128
polar,6
opposit,65
desir,54
joe,21
davi,29
insist,36
stern,31
fundament,60
profound,81
plateau,17
pomerol,33
govern,11
cordial,25
damask,10
unmistak,31
astonish,46
dreami,9
danger,30
endur,139
william_selyem,76
allen,15
underli,9
cardamon,16
captiv,73
mirror,30
repeat,26
messag,12
world,169
contempl,41
supersweet,24
mysteri,82
shyli,6
cos,8
destournel,7
médoc,53
almondi,21
alder,22
sugarysweet,28
milki,51
rubyr,16
rain,20
tower,20
mayb,636
mouthpuck,42
pork,390
flank,40
antonio,8
bakedberri,9
singular,12
oval,8
prestigi,29
sainttropez,20
freshfac,22
tap,9
nori,6
unwav,8
wear,146
dijon,14
76,12
clonal,20
materi,39
1995,15
actionpack,11
cherimoya,8
forewarn,16
collaps,24
bordeauxstyl_blend,192
possess,177
tie,41
enrich,227
wellag,16
chord,20
dinner,132
43,30
revit,37
bomb,164
casual,93
forefront,54
nimbl,8
vinaigrett,13
divers,20
sink,42
teeth,20
creek_valley,117
complementari,20
croissant,9
chardonay,10
encas,43
deriv,50
lover,194
stunner,29
artifici,57
scrub,25
enjoy_soon,72
brittl,88
rosehip_tea,81
appliqué,18
worth_age,263
sacrif,27
yellowpeach,8
evergreen,28
superconcentr,32
murmur,24
muchneed,30
st_helena,84
precari,7
rosso,147
lowacid,43
thrust,39
wellconstruct,19
suppli,42
lake_counti,66
travel,14
miller,6
bien_nacido,61
would_benefit,115
belt,22
toler,21
lollipop,20
juxtapos,18
pour,223
propel,60
shadow,71
associ,149
archetyp,14
spare,51
sb,190
crust,139
gamey,12
ever,403
dure,76
mouthdri,27
secret,24
cool_climat,60
zone,44
entwin,10
equival,66
grang,14
rememb,29
1996,30
probabl,496
confin,7
tilt,46
boar,24
authent,102
pavi,10
coown,12
edna_valley,126
dan,14
profus,17
us,210
montalcino,264
gem,43
sebastopol,39
counterweight,20
soprano,11
heritag,27
woodshop,13
cayenn,6
shrivel,77
pull_togeth,85
muddl,172
bean,88
ditto,15
buttress,70
zip,67
hawk_bay,40
openknit,32
cru,383
classé,16
demonstr,117
greco,18
di,328
tufo,11
gill,13
shelter,7
mount,55
29,38
cherry,18
almostsweet,12
61,17
juicili,7
chandler,7
infinit,10
tribut,26
art,79
none,67
dave,9
cognac,12
roessler,16
pay,70
recognit,6
navig,7
monster,69
wellmanag,41
parad,10
pile,124
martini,28
raini,8
confit,6
orangeblossom,7
strain,82
68,32
cinsault,91
tertiari,63
beef_stew,73
trio,50
courtesi,86
yountvill,24
drink_now–2016,114
lose_sight,30
mess,10
altitud,30
elena,8
merit,91
tug,59
stretch,114
ten_year,107
disclos,26
49,14
charbono,12
featherlight,12
dart,8
beneath,108
34,70
seashel,7
adelaida,13
wit,20
el,44
overbear,42
vacat,6
muscat,88
oyster,106
clam,41
infus,146
brutal,18
unto,6
whi,294
hu,6
wooddriven,27
veteran,93
john,59
lane,52
acquir,53
44,29
latch,21
faiveley,31
break,142
superclean,9
sharpli,100
ticket,21
weightier,15
fray,17
meant,179
cloud,33
nest,12
cusp,21
begun,18
carter,18
track,40
straightlac,9
six_year,449
stuff,330
whistleclean,12
testament,46
longev,81
bestofbarrel,18
gravita,33
heirloom,30
justin,10
map,32
develop_bottl,418
scream,61
pizzazz,22
toss,37
pessacléognan,8
andré,9
lurton,32
margaux,101
arrest,9
glorious,78
corral,10
auson,15
adventur,26
drinker,69
reed,7
indian,96
asian,100
appley,34
thirstquench,29
deux,12
mer,9
recov,10
donat,6
al,47
christma_spice,126
mas,8
favorit,122
tint,40
terrav,7
facil,21
buellton,8
redblack,9
interlac,14
factor,93
craggi,27
recent_vintag,70
foggi,8
latest,94
gaillac,9
exhilar,11
stapl,9
hope,113
grüner,149
sagelik,8
fluid,29
herald,6
concord,19
saintaubin,12
jab,8
muscledup,9
hawk,7
japanes,15
vanillacream,11
blind,57
fade_away,47
teriyaki,98
cocoadust,14
alkalin,7
puncheon,11
cacao,35
washington_state,49
cabdomin,13
reput,121
explos,328
next_five,148
wife,16
sommeli,49
baron,27
umbrella,7
vino,35
drinkmenow,65
yes,228
get_better,186
retic,73
fool,28
soul,37
cute,15
pfalz,7
hamburg,74
canelli,15
shrimp,116
taitting,7
pasta_dish,148
turbiana,8
limit_ageabl,64
thirst,19
filigre,20
baga,28
statur,21
unpleas,66
attempt,45
accord,58
sluggish,9
fatter,22
chunkier,9
issu,135
welldefin,118
barossa,140
poultri,129
parsley,19
bloodi,26
turmer,15
fleshier,13
cleaner,48
woodladen,17
mendoza,76
rounder,90
menetousalon,8
altern,93
aid,30
campbel,15
annapoli,9
discoveri,17
remot,38
stonelik,7
cappuccino,17
pellet,8
highelev,21
fog,30
forgiv,15
choic,328
anyon,80
fullfigur,9
overlaid,19
moueix,12
finebon,6
crunch,7
cleancut,12
constant,23
sensual,86
82,6
stride,48
startl,12
svelt,19
mileag,7
redfruitflavor,6
attack,67
cheek,20
repris,41
highintens,6
mitig,24
overextract,54
correct,184
le,203
lemberg,27
readytodrink,120
sauv_blanc,47
razorsharp,13
vanillating,46
arinto,34
mediumlong,67
tomato_sauc,80
blaze,61
bang,48
pumpkin,17
money,186
mammoth,23
chimney,8
benchland,7
oakderiv,37
foodstyl,6
knight,24
templar,8
strut,22
cherryfruit,8
suffici,48
vinif,18
loureiro,31
lima,18
undertow,85
plus_side,97
ed,23
sbragia,30
breadcrumb,7
sassi,69
stratospher,8
interfer,61
latt,12
substitut,20
carpaccio,25
overthetop,65
bellpepp,10
cevich,22
intrus,45
fri,161
mozzarella,35
joey,7
coolish,9
must,173
six,119
chines,168
subregion,49
tensley,6
cornucopia,14
represent,19
stéphane,11
derenoncourt,8
wooden,16
curri,122
noirbas,24
hidden,73
sundrench,46
delect,33
treat,84
resolut,16
alert,81
pencillead,16
nondescript,42
pinchi,10
meander,25
thrown,46
myriad,32
abbrevi,17
skip,18
promot,13
countri,192
divin,19
lemonzest,17
las,24
asian_fare,39
mediumdri,30
girth,22
crême,20
walla_walla,210
jon,7
maison,35
believ,78
marker,14
strawberrycherri,15
haunt,18
2019–2027,11
olivet,9
pellegrini,9
longest,18
underbelli,19
notch,56
chive,11
laser,12
shell,112
born,32
piquant,181
highprofil,8
lower,172
behav,6
malti,14
priorat,71
eden,26
slow,76
straightahead,25
intact,30
peardrop,6
couli,6
proof,50
fabric,29
cofer_viognier,40
unconvent,12
throwback,32
earlier,43
era,22
brownish,29
malolact_ferment,147
shut,66
dirti,32
inoffens,35
tast_twice,89
shaki,17
ruddi,14
bytheglass,37
verdelho,20
saintestèph,34
uncertain,10
5050,42
malbeccabernet,9
punish,19
crushedston,38
redappl,27
wellmodul,14
biscuit,41
cranberryraspberri,10
valuepr,128
bargainpr,41
garrigu,102
threaten,14
territori,135
onenot,22
hum,13
vouvray,42
telltal,39
chenin,67
paul,30
hobb,11
mistak,51
disjoint,159
puzzl,6
rude,42
growth,46
vin,27
ungain,52
portobello,20
malvasia,74
alex,7
taken,86
duti,11
barriqu,151
wing,22
foreground,17
55,74
hierarchi,10
hammer,23
chablislik,29
elsewher,33
unheard,6
clock,42
165,22
62,34
38,40
cab_franc,526
hedg,12
conner,33
replant,7
tuberos,9
bounci,116
shelf,22
sleep,13
sideway,7
glanc,7
2016–2023,8
brawn,34
master,83
newli,47
moon,16
overlap,6
electr,43
commingl,12
whether,71
now–2020,7
matt,12
barbecu_sauc,97
strung,9
late_harvest,48
format,46
soak,43
rush,84
jonathan,13
nagi,11
angélus,9
inflect,25
reckon,6
demur,18
cudd,44
artisan,19
gift,6
maresh,27
nougat,53
equat,14
wright,34
riverbench,7
earl,25
grey,26
threequart,19
rariti,8
mushi,65
mediumstrength,12
montepulciano,87
shorten,11
chip,60
ralli,8
lengthen,23
broth,22
smoothtextur,32
63,16
ultrasmooth,24
antonia,9
ferreira,13
dame,9
descend,14
review,90
denser,50
2008,794
fern,31
compani,181
temecula,7
wheat,34
fuse,10
stroke,26
latereleas,13
impenetr,106
namesak,12
broken,16
weigh,114
slatedriven,27
crème,54
mulch,29
5050_blend,98
fatti,100
steelfer,22
bruschetta,35
oliv_tapenad,91
sushi,70
case_produc,440
noodl,16
taco,56
unruli,9
fri_calamari,41
mussel,36
cope,7
pinotfriend,8
wild_mushroom,164
risotto,119
irregular,19
muscadell,36
santorini,6
creambas,18
effortless,122
collect,102
euro,9
greengag,24
likewis,12
bar,166
collector,15
park,18
mission,29
club,13
2020–2027,11
attain,19
palmer,16
onion,60
bruce,6
pierr,26
lafond,7
garden,87
livermor,38
hungarian,35
compens,91
dua,6
clingi,7
preval,16
35yearold,9
wayward,52
oper,30
strive,21
chablisstyl,34
andes,17
boisset,35
awesom,60
illustr,22
dewi,8
tread,50
intern,260
vitamin,52
joven,9
oldfashion,132
unattract,10
cabernetdomin,18
knife,20
mouthcleans,50
kerosen,31
kernel,12
bigtim,103
baselin,8
farmhous,7
flavorsom,8
talcum_powder,73
sell,61
retail,13
store,40
eggi,13
empti,21
plod,18
drinknow,58
côtes,15
orangezest,22
ratchet,8
dna,31
soap,40
obtus,12
argentin,107
clos,94
ball,39
ale,14
strang,174
dial,34
pound,39
converg,14
ddo,18
drouhin,27
quail,14
jaffur,7
spectacular,167
snif,9
cambria,9
socal,33
marc,6
au,30
bon,24
singleclon,9
followthrough,34
fudgelik,20
suffus,25
highalcohol,89
soussan,7
panopli,37
vietnames,63
rum,38
minut,175
redcheek,6
espressolik,22
vinegari,29
specimen,60
steam,95
sul,9
dijon_clone,69
saw,50
merlotcabernet,26
handpick,8
crop,50
shown,66
die,15
josé,10
santo,14
da,40
silva,9
headtrain,11
grew,12
150,19
picnic,106
tranch,7
blockdesign,9
ensu,7
greener,29
pinpoint,40
suit,98
1000,48
carmel,12
stronger,29
grapefruitpith,8
bunch,28
likabl,143
fortun,188
simon,6
abv,34
roughedg,13
whitegrapefruit,9
clacki,69
jame,34
sole,32
montagn,15
reim,14
jar,36
bélingard,7
sulfit,9
brew,34
plucki,22
56,41
thoma,10
blackberryjuic,6
clunki,42
greenpepp,11
seep,21
tentat,6
leaven,57
newest,55
northwest,48
guid,11
darkhu,23
taught,7
pulignymontrachet,12
smaller,47
highwir,9
bay,153
could_use,326
sight,47
18th,9
sprawl,23
christian,17
pan,10
valandraud,17
richest,97
scintil,8
couch,33
friendli,16
fireste,9
goat_chees,55
icon,99
action,27
sec,15
enter,152
sausag,138
pâté,12
sebastiani,37
sonoma_counti,71
tier,125
castelão,39
shortterm,62
appleflavor,32
fish_dish,61
support_role,65
antão,12
vaz,12
proven,34
giant,42
clash,21
silicon,9
supersmooth,6
northeast,12
mill,52
station,47
macaroon,49
embodi,32
wellbuilt,28
barest,24
mondavi,57
learn,10
lasagna,109
vegetarian,11
cuisin,95
ciliegiolo,13
overnight,18
optimum,7
dank,16
applelik,15
quirki,18
unnatur,36
children,10
elast,8
sketchi,15
follow_suit,40
fruitcak,60
unbalanc,237
shout,16
voic,10
unsettl,13
cocoon,27
bin,28
perk,41
border,147
variat,38
sampl,1086
spinetingl,9
advertis,11
screwtop,7
outweigh,16
grecanico,29
grillo,116
earthen,8
tealeaf,36
lemonpeel,12
younger,68
revert,10
jim,23
barri,18
savoya,8
path,46
mt,29
pomelo,17
owen,7
letter,8
coro,6
mendocino,57
award,21
del,97
rio,22
beat,96
subsequ,14
toastier,18
motor,11
tuna,113
burger,281
proposit,10
oakinspir,92
laroch,12
largest,63
les,132
hotter,43
glyceriney,101
offici_alcohol,73
santa_rita,79
apple,24
pearflavor,32
pleaser,22
oger,6
78,17
aussi,33
brink,11
unsweeten,86
collid,8
winter,101
turkey,43
uphold,6
christoph,24
jo,8
1998,47
romaneira,9
ortman,9
shift,44
gum,65
rudimentari,32
paid,21
wrong,125
pruni,98
ivi,8
happili,39
54,11
heft,363
sandpap,22
go_anywher,139
downright,35
seawe,27
slatelik,13
normal,168
negoci,51
dourth,6
paradigm,7
specialist,55
goldridg,6
musqué,8
juicier,15
sibl,31
oakinfluenc,31
preponder,8
composit,38
blanch,16
cherrypi_fill,59
blade,6
wellton,9
smaller_percentag,43
fluffi,27
substant,38
alfrocheiro,8
rub,17
pointi,15
porti,292
guess,43
paprika,12
rollup,22
prowess,7
intertwin,44
spun,25
agil,40
glossi,22
freshtast,16
hardhit,7
puls,114
margin,61
cascad,35
plowbust,6
mineraltextur,16
german,67
leg,71
gutsi,45
swing,21
spongi,11
pizza,331
mustardi,18
maritim,10
topend,18
teroldego,18
amplitud,6
interweav,6
microscop,8
sad,21
realiti,12
triumph,25
accur,30
poir,6
pearscent,7
counteract,6
heel,49
ant,10
primetim,9
carnat,37
coop,27
horizont,9
sherbet,48
race,17
lazi,31
bead,39
shortliv,7
undistinguish,13
foie,29
gras,30
anytim,45
macphail,21
shrink,9
option,28
crescendo,19
jampack,24
candylik,31
awkward,369
precious,24
basket,16
fork,9
dissect,9
fame,94
eyri,21
provoc,11
quarter,84
onceus,16
keller,8
gewäch,11
germani,7
von,27
der,6
director,11
desper,22
freshpick,11
titl,8
europ,29
beg,51
sap,41
upsw,9
bigproduct,14
georg,41
albrecht,10
limeskin,14
101,7
154,31
surf,6
varnish,15
cork,34
blacktea,25
command,27
cole,9
gloria,9
glori,35
guy,12
profession,9
footbal,7
launch,11
115,20
allianc,8
carpet,9
intox,66
cultiv,9
principl,21
deliveri,125
outlast,28
omniwin,14
now–2015,30
mashup,13
roast_pork,89
interpret,247
inzolia,32
nuit,15
farmyard,47
chef,22
return,115
emin,57
hair,16
sweetfruit,10
xavier,14
clementin,29
sharpen,26
beach,35
stalk,39
crown,12
pepe,10
20yearold,24
seduc,65
rossi,6
deiss,8
member,31
vargella,7
inner,29
strawberryrhubarb,10
saint,59
20year,14
legaci,15
2015–2030,14
gunmet,16
mouchão,7
claim,25
pride,15
plot,14
joseph,29
boutiqu,52
doubl,51
jeanluc,21
thunevin,12
moutonrothschild,6
chervil,10
onequart,30
aplomb,25
1970,8
flatout,28
starch,11
screw_cap,55
rambl,9
earn,132
cost,210
freshbak,25
laird,19
newton,27
group,168
gone,55
harden,14
sardin,6
detriment,9
gulpabl,22
alon,58
softtextur,8
90yearold,9
moscato,65
fortifi,23
search,37
sierra_foothil,32
smidgen,14
vanillakiss,9
slab,13
pascal,12
destem,11
rod,6
chianti,207
herbcrust,6
denomin,9
ode,9
architect,7
julia,12
sherri,100
russian,10
content,76
orangepink,18
mid2016,15
pont,11
schindler,10
sandwich,56
stainlesssteelfer,9
charmer,36
mate,8
curv,27
garnish,29
longliv,47
warrant,83
partnership,23
mcwilliam,9
arista,9
succinct,8
thrill,65
cherryvanilla,20
broader,47
flood,128
chunk,20
clare,51
persuas,7
greenting,10
sinuous,15
customari,13
lemondrop,98
osso,12
latepick,10
context,63
fraction,14
peyrabon,9
hautmédoc,23
pauillac,65
laros,6
brillianc,32
lodg,6
event,26
lunch,32
lit,10
wispi,15
testarossa,71
navarran,41
rosado,34
ladi,13
shortag,69
vanillalik,10
worn,29
drama,16
poor,39
fair_amount,81
crumb,13
aftershock,6
foothil,45
2017–2019,7
overtaken,22
summerrip,7
mediums,25
cherrycandi,7
whirl,12
minimum,29
idea,58
nib,26
nevertheless,68
flatlin,10
pizza_pasta,57
driest,36
credit,37
nativ_grape,74
nero,433
davola,420
2015–2024,7
jewel,15
croft,6
movement,22
jensen,16
light_airi,68
sacrash,10
77,21
bass,36
platform,12
fogarti,20
flowershop,10
te,34
set_apart,55
martinborough,27
salmonpink,8
beckon,12
homemad,21
kahlua,10
rick,17
longoria,19
discov,28
wimpi,22
realist,23
descriptor,31
solut,22
servic,63
confus,49
patio,17
mader,26
submerg,42
cough_drop,124
foxen,23
prunelik,11
wan,27
cranberrycherri,16
chalonnais,6
soufflé,11
buri,169
therefor,43
simplest,20
fruitiest,12
allot,21
unfortun,75
drown,12
fleuri,10
presag,21
allimport,20
second_label,87
portal,15
fullinthemouth,21
blood,52
assembl,34
program,26
hedgerow,41
grapefruitlik,12
collin,35
seven_hill,116
farmer,10
hat,17
clovelik,11
transpar,74
summertim,33
opportun,14
job_done,127
sloppi,16
appledriven,14
semitart,21
darken,33
catarratto,43
occasion,11
slip,58
jason,6
lett,9
multidimension,17
firstev,13
carabella,10
hyland,12
thistl,16
wellblend,12
deepen,37
emilio,14
moro,13
portlik,133
grasp,12
librari,19
transform,29
schisti,19
majorleagu,8
sweetish,30
guidanc,8
catti,6
doughi,41
tropicalfruit,48
perlag,157
foursquar,65
lowlevel,7
versus,27
allegrini,11
veneto,13
grilo,6
softest,19
adapt,10
nonno,9
marinara,13
loss,12
tuttifrutti,16
split,45
forgotten,10
whatev,63
swamp,109
faux,44
par,51
bee,27
hazlitt,9
resort,8
bandol,10
subsect,14
51,22
flouret,12
pool,41
gin,8
stainlesssteel,13
altogeth,32
cat_pee,39
fivespic,14
undefin,16
vicent,6
foray,12
suffer,88
finer,23
sprite,14
7up,10
unstructur,22
southfac,19
tickl,40
2017–2027,9
file,40
nerello_mascales,46
blanc_de,73
trodden,7
charg,77
test,24
crusti,131
beerenausles,18
arriv,28
commerci,31
loin,8
giscour,8
candid,41
piney,14
featheri,19
heartili,6
cherrypi,16
underwhelm,37
87,14
norman,8
overflow,23
bruno,20
paillard,8
93,10
encourag,34
sync,15
jacket,60
precoci,29
brulé,27
mushroom_risotto,25
tobaccolik,26
unfocus,72
much_els,54
fix,7
predinn,11
treixadura,17
inyourfac,37
honeyroast,20
syrahdomin,6
fivegrap,48
price_rang,90
rhônes,9
currantflavor,9
cassoulet,6
aboveaverag,7
souther,33
pillow,11
understand,100
multifacet,31
buttercup,45
kosher,40
looseknit,13
grapeskin,31
northernmost,7
wellbehav,14
prize,27
liquor,104
125,69
72,22
sierra,39
cantabria,18
2015–2025,25
muddi,34
riverston,6
figgin,12
leonetti,46
meanwhil,72
babi,130
sesam,6
indulg,20
multilay,28
pinkcolor,20
mcclellan,16
blanco,6
peculiar,7
blanca,6
heavyhand,66
otago,40
subsid,47
cheer,296
strongest,24
brushi,17
sauvignonbas,30
fruitfil,32
10_year,451
va,18
piano,20
face,80
creation,7
bernard,31
befit,60
hors_heaven,67
lead_pencil,104
meringu,110
pud,71
virtual,84
oxygen,12
exposur,48
mâcon,16
modernday,6
throat,44
crispi,30
starfruit,10
trout,19
piec,56
pearl,6
creativ,19
wellknit,7
caraway,15
silvio,10
négociant,52
jeanmichel,7
dialect,7
tube,8
emul,13
elit,15
135,80
sur_lie,94
breast,16
dous,8
cloth,15
herbinfus,54
dosag,102
whatsoev,8
cardboard,17
maxim,11
lemelson,15
rous,8
milkchocol,9
potato,99
meyer,9
shed,47
smallbatch,7
nerello,28
cappuccio,28
conceal,38
taylor,22
clammi,10
invis,19
drawback,43
built_upon,46
fernão,24
pire,24
brusqu,28
tritip,16
subtext,11
epitom,63
smatter,34
plate,65
brief,30
shelv,7
obtrus,11
honor,32
carolina,30
woman,6
argument,12
declin,14
jet,8
condrieu,20
avoid,138
bottleag,12
chilli,55
specialti,24
chanson,12
liter,29
crossroad,6
cooki_dough,38
latour,39
hermitag,77
terroirdriven,41
applic,54
taurasi,34
striat,15
underdevelop,50
avail,126
greenish,26
burrito,11
fruitsalad,8
twisttop,7
differenti,13
allpurpos,63
employ,16
ripefruit,19
darkchocol,11
dominiqu,11
96,16
syrahl,9
straddl_line,33
patent,12
citrusladen,7
muffin,16
satisfactori,18
chippi,6
incomplet,18
european,58
african,12
tuck,22
superstar,44
alfalfa,25
cannonau,36
sardinian,21
boval,18
carignano,41
wellcut,13
stint,7
ducourt,7
fruitpow,20
somewher,85
discern,78
bush,13
undrink,35
